Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/completions,10,0,1400,1359.156780000194,1200.382399983937,1458.7697999959346,351.0,1.3653146224786437,0.0,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500
,Aggregated,10,0,1400,1359.156780000194,1200.382399983937,1458.7697999959346,351.0,1.3653146224786437,0.0,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500
