Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/completions,10,0,1300,1307.3510000045644,1114.4592000055127,1426.035899989074,351.0,1.3968908342993573,0.0,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
,Aggregated,10,0,1300,1307.3510000045644,1114.4592000055127,1426.035899989074,351.0,1.3968908342993573,0.0,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
