Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/completions,467,210,4700,6064.342832120048,0.9049999935086817,23505.307200015523,207.5524625267666,5.658122687700815,2.544337825304435,4700,12000,13000,13000,13000,13000,13000,13000,24000,24000,24000
,Aggregated,467,210,4700,6064.342832120048,0.9049999935086817,23505.307200015523,207.5524625267666,5.658122687700815,2.544337825304435,4700,12000,13000,13000,13000,13000,13000,13000,24000,24000,24000
